tender_id,tenderguru_card_id,customer,budget_rub,niche,product_category,opportunity_title,problem,requested_solution,ai_terms,modules,scenarios,integrations,constraints,mvp_opportunity,target_buyers,reuse_score,complexity,evidence_files,product_card
"0101500000325000150","86439677","ГОСУДАРСТВЕННЫЙ КОМИТЕТ РЕСПУБЛИКИ БАШКОРТОСТАН ПО МОНИТОРИНГУ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ","378295727","computer_vision","computer_vision","Computer Vision решение для распознавания и анализа","найдено в карточке/названии; совпадения: распознавание изображений; карточка содержит 500 символов описания","Решение/оборудование для обработки изображений или видеоданных с использованием AI/CV-компонентов. Ключевые элементы: chat_ui, monitoring_support.","","chat_ui; monitoring_support","","портал/внешний сайт","on_prem_hardware","CV pilot kit: прием изображений/видео, модель распознавания, кабинет проверки результатов, отчет качества и API для интеграции.","промышленность; безопасность; медицина; транспорт; ритейл","medium","medium","data/raw/tenderguru/2026-05-25/docs/0101500000325000150/derived-2-001-0.docx.txt | data/raw/tenderguru/2026-05-25/docs/0101500000325000150/derived-2-001-idmzhyzizhz-6090.docx.txt | data/raw/tenderguru/2026-05-25/docs/0101500000325000150/derived-2-003-0101500000325000150-f-11.06.20251.docx.txt | data/raw/tenderguru/2026-05-25/docs/0101500000325000150/derived-2-003-1.pdf.txt | data/raw/tenderguru/2026-05-25/docs/0101500000325000150/derived-2-003-idmzhyzizhz-609.docx1.pdf.txt","data/analysis/2026-05-25/product-cards/0101500000325000150.md"
"0101500000325000345","88725952","ГОСУДАРСТВЕННЫЙ КОМИТЕТ РЕСПУБЛИКИ БАШКОРТОСТАН ПО МОНИТОРИНГУ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ","135729739","computer_vision","computer_vision","Computer Vision решение для распознавания и анализа","Целью работ по содержанию системы автоматической фотовидеофиксации нарушений правил дорожного движения и распознавания изображения регистрационных знаков транспортных средств является поддержка в круглосуточном работоспособном состоянии комплексов и их программного обеспечения путем периодического выполнения работ по их профилактике, обслуживанию, контролю технического состояния и ремонту. Подрядчик несет ответственность перед Заказчиком за соответствие качества, объема и периодичности выполнения работ. Единица измерения - одна отработанная Смена каждой единицы Комплекса. Смена – Продолжительность функционирования каждой единицы Комплекса в течение 24 часов в сутки. В случае возникновения аварийной ситуации (не зависящей от внешних факторов), длительностью более 23 часов за смену, то данная смена к учёту не подлежит, Заказчиком не оплачивается.","Решение/оборудование для обработки изображений или видеоданных с использованием AI/CV-компонентов. Ключевые элементы: chat_ui, monitoring_support, computer_vision, классификация.","классификация","chat_ui; monitoring_support; computer_vision","Подрядчик в течении 5 рабочих дней с даты заключения Контракта должен организовать службу круглосуточной технической поддержки (диспетчерскую) и письменно уведомить Заказчика. | круглосуточной технической поддержки (диспетчерскую) и письменно уведомить Заказчика.","","sla_24x7","CV pilot kit: прием изображений/видео, модель распознавания, кабинет проверки результатов, отчет качества и API для интеграции.","промышленность; безопасность; медицина; транспорт; ритейл","medium","low","data/raw/tenderguru/2026-05-25/docs/0101500000325000345/derived-2-001-0.docx.txt | data/raw/tenderguru/2026-05-25/docs/0101500000325000345/derived-2-001-0.pdf.txt | data/raw/tenderguru/2026-05-25/docs/0101500000325000345/derived-2-003-.docx1.pdf.txt | data/raw/tenderguru/2026-05-25/docs/0101500000325000345/derived-2-003-1.pdf.txt","data/analysis/2026-05-25/product-cards/0101500000325000345.md"
"0101500000326000125","94403543","ГОСУДАРСТВЕННЫЙ КОМИТЕТ РЕСПУБЛИКИ БАШКОРТОСТАН ПО МОНИТОРИНГУ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ","178060439","computer_vision","computer_vision","Computer Vision решение для распознавания и анализа","Целью оказания услуг по содержанию системы автоматической фотовидеофиксации нарушений правил дорожного движения и распознавания изображения регистрационных знаков транспортных средств является поддержка в круглосуточном работоспособном состоянии комплексов и их программного обеспечения путем периодического оказания услуг по их профилактике, обслуживанию, контролю технического состояния и ремонту. Исполнитель несет ответственность перед Заказчиком за соответствие качества, объема и периодичности оказанных услуг. Единица измерения - одна отработанная Смена каждой единицы Комплекса. Смена – Продолжительность функционирования каждой единицы Комплекса в течение 24 часов в сутки. В случае возникновения аварийной ситуации (не зависящей от внешних факторов), длительностью более 23 часов за смену, то данная смена к учёту не подлежит, Заказчиком не оплачивается.","Решение/оборудование для обработки изображений или видеоданных с использованием AI/CV-компонентов. Ключевые элементы: chat_ui, monitoring_support, computer_vision, классификация.","классификация","chat_ui; monitoring_support; computer_vision","Исполнитель в течении 5 рабочих дней с даты заключения Контракта должен организовать службу круглосуточной технической поддержки (диспетчерскую) и письменно уведомить Заказчика. | круглосуточной технической поддержки (диспетчерскую) и письменно уведомить Заказчика.","","domestic_registry; sla_24x7; on_prem_hardware","CV pilot kit: прием изображений/видео, модель распознавания, кабинет проверки результатов, отчет качества и API для интеграции.","промышленность; безопасность; медицина; транспорт; ритейл","medium","low","data/raw/tenderguru/2026-05-25/docs/0101500000326000125/derived-2-001-0.docx.txt | data/raw/tenderguru/2026-05-25/docs/0101500000326000125/derived-2-001-idmzhyzizhz.0.docx.txt | data/raw/tenderguru/2026-05-25/docs/0101500000326000125/derived-2-003-.docx1.pdf.txt | data/raw/tenderguru/2026-05-25/docs/0101500000326000125/derived-2-003-1.pdf.txt | data/raw/tenderguru/2026-05-25/docs/0101500000326000125/derived-2-003-idmzhyzizhz..docx1.pdf.txt","data/analysis/2026-05-25/product-cards/0101500000326000125.md"
"0119200000126000446","91785855","агентство государственного заказа Красноярского края","726000","computer_vision","medical_ai_support","Сопровождение медицинских AI-компонентов в защищенном контуре","Нужно обеспечить бесперебойную работу медицинского AI-компонента и поддержку пользователей.","Сопровождение и поддержка медицинского AI-компонента: мониторинг, обновления, диагностика, исправление ошибок, обучение пользователей и соблюдение требований защищенного контура. Ключевые элементы: chat_ui.","","chat_ui","","портал/внешний сайт","on_prem_hardware","Managed AI support desk for healthcare AI systems: мониторинг, SLA, база знаний ошибок, регламент обновлений, обучение пользователей и compliance-пакет для защищенных медсистем.","региональные минздравы; медицинские ИТ-операторы; клиники с PACS/RIS/LIS; разработчики медицинского ПО","low","medium","data/raw/tenderguru/2026-05-25/docs/0119200000126000446/derived-2-001-ea-476-26-trebovanie.docx.txt | data/raw/tenderguru/2026-05-25/docs/0119200000126000446/derived-2-001-ea-476-26-instrukciya.docx.txt | data/raw/tenderguru/2026-05-25/docs/0119200000126000446/derived-2-001-ea-476-26-kontrakt.docx.txt","data/analysis/2026-05-25/product-cards/0119200000126000446.md"
"0123200000325001805","89453152","управление государственного заказа Амурской области","3880000","software_related","medical_ai_support","Сопровождение медицинских AI-компонентов в защищенном контуре","Повышение оперативности, эффективности и качества государственного управления в сфере сельского хозяйства. Повышение оперативности, эффективности и качества государственного управления в сфере сельского хозяйства.","Сопровождение и поддержка медицинского AI-компонента: мониторинг, обновления, диагностика, исправление ошибок, обучение пользователей и соблюдение требований защищенного контура. Ключевые элементы: rag, chat_ui, monitoring_support, computer_vision.","","rag; chat_ui; monitoring_support; computer_vision","","портал/внешний сайт","domestic_registry; on_prem_hardware","Managed AI support desk for healthcare AI systems: мониторинг, SLA, база знаний ошибок, регламент обновлений, обучение пользователей и compliance-пакет для защищенных медсистем.","региональные минздравы; медицинские ИТ-операторы; клиники с PACS/RIS/LIS; разработчики медицинского ПО; региональные и муниципальные заказчики","low","medium","data/raw/tenderguru/2026-05-25/docs/0123200000325001805/derived-2-001-opisanie-obekta-zakupki.docx.txt | data/raw/tenderguru/2026-05-25/docs/0123200000325001805/derived-2-001-trebovaniya-k-zayavke.docx.txt | data/raw/tenderguru/2026-05-25/docs/0123200000325001805/derived-2-001-proekt-kontrakta.docx.txt","data/analysis/2026-05-25/product-cards/0123200000325001805.md"
"0128200000125007616","90510290","департамент имущественных и земельных отношений администрации Владимирской области","2000000","software_related","medical_ai_support","Сопровождение медицинских AI-компонентов в защищенном контуре","повышение эффективности и надёжности функционирования; повышение качества и актуальности информации, полученной в результате анализа, проведенного средствами ПО «Webiomed»; повышение эффективности и надёжности функционирования; повышение качества и актуальности информации, полученной в результате анализа, проведенного средствами ПО «Webiomed»; обеспечение бесперебойного функционирования и выполнения автоматического анализа обезличенных данных с помощью ПО «Webiomed»;","Сопровождение и поддержка медицинского AI-компонента: мониторинг, обновления, диагностика, исправление ошибок, обучение пользователей и соблюдение требований защищенного контура. Ключевые элементы: chat_ui, integration, monitoring_support, классификация.","классификация","chat_ui; integration; monitoring_support","Сбор и отправка данных на основании выгрузки вновь обратившихся пациентов за медицинской помощью в МО для обеспечения групповой оценки риска по выбранному перечню пациентов. Данный сценарий использования сервиса позволяет ежедневно отслеживать изменение динамики по пациентам. | Инструктаж пользователей в случаях изменения алгоритмов и/или пользовательского интерфейса ПО «Webiomed». Темы, время проведения инструктажей и состав слушателей согласовываются Исполнителем с Заказчиком в рабочем порядке; | Получение Заказчиком регулярных обновлений ПО «Webiomed» в рамках устранения ошибок, корректировки алгоритмов расчета; | обеспечение непрерывной информационно-технической поддержки пользователей; | В Webiomed.Connect реализовано два сценария использования: | Требования к обработке обращений Заказчика Службой технической поддержки Исполнителя. | Исполнитель должен обеспечить работу службы технической поддержки с 9.00 до 18.00 по местному времени Заказчика в рабочие дни, согласно законодательству. | Обработка и регистрация обращений Исполнителем производится в рамках режима работы Службы технической поддержки.","","personal_data; critical_infrastructure; domestic_registry; on_prem_hardware","Managed AI support desk for healthcare AI systems: мониторинг, SLA, база знаний ошибок, регламент обновлений, обучение пользователей и compliance-пакет для защищенных медсистем.","региональные минздравы; медицинские ИТ-операторы; клиники с PACS/RIS/LIS; разработчики медицинского ПО; региональные и муниципальные заказчики","low","low","data/raw/tenderguru/2026-05-25/docs/0128200000125007616/derived-2-001-prilozhenie-n2-k-izvescheniyu_-opisanie-obekta-zakupki.docx.txt | data/raw/tenderguru/2026-05-25/docs/0128200000125007616/derived-2-001-prilozhenie-n1-k-izvescheniyu_obosnovanie-nmck_ek.docx.txt | data/raw/tenderguru/2026-05-25/docs/0128200000125007616/derived-2-001-prilozhenie-n4-k-izvescheniyu_proekt-kontrakta.docx.txt","data/analysis/2026-05-25/product-cards/0128200000125007616.md"
"0131200001026002857","94341553","Управление государственного заказа и организации торгов Воронежской области","4000000","ai_general","medical_ai_support","Сопровождение медицинских AI-компонентов в защищенном контуре","Целью выполнения работ является обеспечение бесперебойного функционирования функционального компонента «MedicBK» в составе подсистемы «Интегрирования электронная медицинская карта» ГИС ВО «РС ЕГИСЗ ВО», с коэффициентом готовности 0,996 сотрудников медицинских организаций Воронежской области и обеспечения комплексного подхода при лечении пациентов. В течение периода выполнения работ по технической поддержке Исполнитель по инициативе Заказчика проводит обучающие семинары для сотрудников медицинских организаций по вопросам, непосредственно связанным с функционалом и работой «MedikBK», предназначенных для работы медицинского персонала в объёме не реже одного раза в квартал. Целью выполнения работ является обеспечение бесперебойного функционирования функционального компонента «MedicBK» в составе подсистемы «Интегрирования электронная медицинская карта» ГИС ВО «РС ЕГИСЗ ВО», с коэффициентом готовности 0,996 сотрудников медицинских организаций Воронежской области и обеспечения комплексного подхода при лечении пациентов. В течение периода выполнения работ по технической поддержке Исполнитель по инициативе Заказчика проводит обучающие семинары для сотрудников медицинских организаций по вопросам, непосредственно связанным с функционалом и работой «MedikBK», предназначенных для работы медицинского персонала в объёме не реже одного раза в квартал. Целью выполнения работ является обеспечение бесперебойного функционирования функционального компонента «MedicBK» в составе подсистемы «Интегрирования электронная медицинская карта» ГИС ВО «РС ЕГИСЗ ВО», с коэффициентом готовности 0,996 сотрудников медицинских организаций Воронежской области и обеспечения комплексного подхода при лечении пациентов.","Сопровождение и поддержка медицинского AI-компонента: мониторинг, обновления, диагностика, исправление ошибок, обучение пользователей и соблюдение требований защищенного контура. Ключевые элементы: chat_ui, integration, monitoring_support, information_security, классификация.","классификация","chat_ui; integration; monitoring_support; information_security","Выполнение работ по технической поддержке функционального компонента «MedicBK» должны включать службу технической поддержки, обеспечивающую: | Требования к службе технической поддержки | Все обращения в службу технической поддержки Исполнителя, полученные по электронной почте и иным каналам связи, должны фиксироваться в Системе СТП Заказчика. | Обращения в Систему СТП Заказчика должны обрабатываться специалистами Исполнителя в порядке их поступления. Вне очереди обрабатываются обращения, требующие экстренного вмешательства или срочной консультации специалистов службы технической поддержки Исполнителя. | В случае, если обращение связано с некорректной работой серверного оборудования Заказчика, специалисты службы технической поддержки Исполнителя передают соответствующую информацию Заказчику. | Количество обращений в службу технической поддержки Исполнителя - не ограничено в течении срока действия контракта. | В случае обнаружения ошибок в программном обеспечении компонента «MedikBK», которые препятствуют его применению в рамках заявленных при установке функций, Представители Заказчика сообщают об этом в службу технической поддержки Исполнителя. | Обращение в службу технической поддержки Исполнителя в части исправления ошибок, выявленных в процессе эксплуатации компонента «MedikBK», считается закрытым после подтверждения Представителем Заказчика.","","closed_contour; information_security; personal_data; critical_infrastructure; domestic_registry; sla_24x7; on_prem_hardware","Managed AI support desk for healthcare AI systems: мониторинг, SLA, база знаний ошибок, регламент обновлений, обучение пользователей и compliance-пакет для защищенных медсистем.","региональные минздравы; медицинские ИТ-операторы; клиники с PACS/RIS/LIS; разработчики медицинского ПО; региональные и муниципальные заказчики","low","medium","data/raw/tenderguru/2026-05-25/docs/0131200001026002857/derived-2-001-prilozhenie-3-opisanie-obekta-zakupki_3187.docx.txt | data/raw/tenderguru/2026-05-25/docs/0131200001026002857/derived-2-001-prilozhenie-4-trebovaniya-k-soderzhaniyu-sostavu-zayavki-instrukciya-po-zapolneniyu_3187.docx.txt | data/raw/tenderguru/2026-05-25/docs/0131200001026002857/derived-2-001-utverzhdenie-konkurs-48997889.docx.txt | data/raw/tenderguru/2026-05-25/docs/0131200001026002857/derived-2-001-prilozhenie-1-proekt-kontrakta_3187.docx.txt","data/analysis/2026-05-25/product-cards/0131200001026002857.md"
"0131200001026002858","94341556","Управление государственного заказа и организации торгов Воронежской области","3000000","ai_general","medical_ai_support","Сопровождение медицинских AI-компонентов в защищенном контуре","Целью выполнения работ является обеспечение бесперебойного функционирования функционального компонента «Цельс» подсистем ЛИ и ЦАМИ ГИС ВО «РС ЕГИСЗ ВО» с коэффициентом готовности 0,996, включая техническое сопровождение и информационную поддержку сотрудников МО Воронежской области и обеспечения комплексного подхода при лечении и наблюдении пациентов, автоматизация процессов анализа результатов исследований и сбора статистических данных. В течение срока выполнения работ по технической поддержке Исполнитель по инициативе Заказчика проводит обучающие семинары для сотрудников медицинских организаций по вопросам, непосредственно связанным с функционалом и работой программного обеспечения «Цельс», в объёме не реже одного раза в квартал. Целью выполнения работ является обеспечение бесперебойного функционирования функционального компонента «Цельс» подсистем ЛИ и ЦАМИ ГИС ВО «РС ЕГИСЗ ВО» с коэффициентом готовности 0,996, включая техническое сопровождение и информационную поддержку сотрудников МО Воронежской области и обеспечения комплексного подхода при лечении и наблюдении пациентов, автоматизация процессов анализа результатов исследований и сбора статистических данных. В течение срока выполнения работ по технической поддержке Исполнитель по инициативе Заказчика проводит обучающие семинары для сотрудников медицинских организаций по вопросам, непосредственно связанным с функционалом и работой программного обеспечения «Цельс», в объёме не реже одного раза в квартал. Целью выполнения работ является обеспечение бесперебойного функционирования функционального компонента «Цельс» подсистем ЛИ и ЦАМИ ГИС ВО «РС ЕГИСЗ ВО» с коэффициентом готовности 0,996, включая техническое сопровождение и информационную поддержку сотрудников МО Воронежской области и обеспечения комплексного подхода при лечении и наблюдении пациентов, автоматизация процессов анализа результатов исследований и сбора статистических данных.","Сопровождение и поддержка медицинского AI-компонента: мониторинг, обновления, диагностика, исправление ошибок, обучение пользователей и соблюдение требований защищенного контура. Ключевые элементы: chat_ui, integration, monitoring_support, information_security, process_automation, computer_vision, классификация.","классификация","chat_ui; integration; monitoring_support; information_security; process_automation; computer_vision","Работы по технической поддержке должны включать информационную службу технической поддержки, обеспечивающую: | мониторинг работоспособности, устранение ошибок и сбоев в работе функционального компонента; | Требования к службе технической поддержки | Служба технической поддержки Исполнителя должна выполнять работы по технической и методологической поддержке пользователей функционального компонента «Цельс». | Все обращения в службу технической поддержки Исполнителя, полученные по электронной почте и иным каналам связи, должны фиксироваться Исполнителем в Системе СТП Заказчика. | Обращения в Систему СТП Заказчика должны обрабатываться специалистами Исполнителя в порядке их поступления. Вне очереди обрабатываются обращения, требующие экстренного вмешательства или срочной консультации специалистов службы технической поддержки Исполнителя. | В случае, если обращение связано с некорректной работой серверного оборудования Заказчика или оборудования медицинских организаций области в части функционирования компонента «Цельс», специалисты службы технической поддержки Исполнителя передают соответствующую информацию Заказчику. | Количество обращений в службу технической поддержки Исполнителя - не ограничено в течении срока действия контракта.","","closed_contour; information_security; personal_data; critical_infrastructure; domestic_registry; sla_24x7; on_prem_hardware","Managed AI support desk for healthcare AI systems: мониторинг, SLA, база знаний ошибок, регламент обновлений, обучение пользователей и compliance-пакет для защищенных медсистем.","региональные минздравы; медицинские ИТ-операторы; клиники с PACS/RIS/LIS; разработчики медицинского ПО; региональные и муниципальные заказчики","low","medium","data/raw/tenderguru/2026-05-25/docs/0131200001026002858/derived-2-001-prilozhenie-3-opisanie-obekta-zakupki_3194.docx.txt | data/raw/tenderguru/2026-05-25/docs/0131200001026002858/derived-2-001-prilozhenie-4-trebovaniya-k-soderzhaniyu-sostavu-zayavki-instrukciya-po-zapolneniyu_3194.docx.txt | data/raw/tenderguru/2026-05-25/docs/0131200001026002858/derived-2-001-utverzhdenie-konkurs-48997886.docx.txt | data/raw/tenderguru/2026-05-25/docs/0131200001026002858/derived-2-001-prilozhenie-1-proekt-kontrakta_3194.docx.txt | data/raw/tenderguru/2026-05-25/docs/0131200001026002858/derived-2-001-prilozhenie-5-poryadok-rassmotreniya-i-ocenki-zayavok-na-uchastie-v-konkurse_3194.docx.txt","data/analysis/2026-05-25/product-cards/0131200001026002858.md"
"0131200001026002883","94380055","Управление государственного заказа и организации торгов Воронежской области","1200000","ai_general","medical_ai_support","Сопровождение медицинских AI-компонентов в защищенном контуре","Целью выполнения работ является обеспечение бесперебойного функционирования компонента «ТОП–3» в составе подсистемы «Интегрирования электронная медицинская карта» ГИС ВО «РС ЕГИСЗ ВО» с коэффициентом готовности 0,996, включая информационную поддержку сотрудников медицинских организаций Воронежской области и обеспечения комплексного подхода при лечении пациентов. В течение периода выполнения работ по технической поддержке Исполнитель по инициативе Заказчика в удаленном режиме проводит обучающие семинары для сотрудников медицинских организаций по вопросам, непосредственно связанным с функционалом и работой компонента «ТОП-3», предназначенных для работы медицинского персонала в объёме не реже одного раза в квартал. Целью выполнения работ является обеспечение бесперебойного функционирования компонента «ТОП–3» в составе подсистемы «Интегрирования электронная медицинская карта» ГИС ВО «РС ЕГИСЗ ВО» с коэффициентом готовности 0,996, включая информационную поддержку сотрудников медицинских организаций Воронежской области и обеспечения комплексного подхода при лечении пациентов. В течение периода выполнения работ по технической поддержке Исполнитель по инициативе Заказчика в удаленном режиме проводит обучающие семинары для сотрудников медицинских организаций по вопросам, непосредственно связанным с функционалом и работой компонента «ТОП-3», предназначенных для работы медицинского персонала в объёме не реже одного раза в квартал. Целью выполнения работ является обеспечение бесперебойного функционирования компонента «ТОП–3» в составе подсистемы «Интегрирования электронная медицинская карта» ГИС ВО «РС ЕГИСЗ ВО» с коэффициентом готовности 0,996, включая информационную поддержку сотрудников медицинских организаций Воронежской области и обеспечения комплексного подхода при лечении пациентов.","Сопровождение и поддержка медицинского AI-компонента: мониторинг, обновления, диагностика, исправление ошибок, обучение пользователей и соблюдение требований защищенного контура. Ключевые элементы: chat_ui, integration, monitoring_support, information_security, классификация.","классификация","chat_ui; integration; monitoring_support; information_security","Выполнение работ по технической поддержке должны включать службу технической поддержки, обеспечивающую: | Требования к службе технической поддержки | Все обращения в службу технической поддержки Исполнителя, полученные по электронной почте и иным каналам связи, должны фиксироваться в Системе СТП Заказчика. | Обращения в Систему СТП Заказчика должны обрабатываться специалистами Исполнителя в порядке их поступления. Вне очереди обрабатываются обращения, требующие экстренного вмешательства или срочной консультации специалистов службы технической поддержки Исполнителя. | В случае, если обращение связано с некорректной работой серверного оборудования Заказчика, специалисты службы технической поддержки Исполнителя передают соответствующую информацию Заказчику. | Количество обращений в службу технической поддержки Исполнителя - не ограничено в течении срока действия контракта. | В случае обнаружения ошибок в программном обеспечении компонента «ТОП-3», которые препятствуют его применению в рамках заявленных при установке функций, Представители Заказчика сообщают об этом в службу технической поддержки Исполнителя. | Обращение в службу технической поддержки Исполнителя в части исправления ошибок, выявленных в процессе эксплуатации компонента «ТОП-3», считается закрытым после подтверждения Представителем Заказчика.","","closed_contour; information_security; personal_data; critical_infrastructure; domestic_registry; sla_24x7; on_prem_hardware","Managed AI support desk for healthcare AI systems: мониторинг, SLA, база знаний ошибок, регламент обновлений, обучение пользователей и compliance-пакет для защищенных медсистем.","региональные минздравы; медицинские ИТ-операторы; клиники с PACS/RIS/LIS; разработчики медицинского ПО; региональные и муниципальные заказчики","low","medium","data/raw/tenderguru/2026-05-25/docs/0131200001026002883/derived-2-001-prilozhenie-3-opisanie-obekta-zakupki_3249.docx.txt | data/raw/tenderguru/2026-05-25/docs/0131200001026002883/derived-2-001-prilozhenie-4-trebovaniya-k-soderzhaniyu-sostavu-zayavki-instrukciya-po-zapolneniyu_3249.docx.txt | data/raw/tenderguru/2026-05-25/docs/0131200001026002883/derived-2-001-utverzhdenie-konkurs-49007270.docx.txt | data/raw/tenderguru/2026-05-25/docs/0131200001026002883/derived-2-001-prilozhenie-1-proekt-kontrakta_3249.docx.txt | data/raw/tenderguru/2026-05-25/docs/0131200001026002883/derived-2-001-prilozhenie-5-poryadok-rassmotreniya-i-ocenki-zayavok-na-uchastie-v-konkurse_3249.docx.txt","data/analysis/2026-05-25/product-cards/0131200001026002883.md"
"0137200001225005799","88852239","Министерство конкурентной политики и тарифов Калужской области","1600000","document_ai","computer_vision","Computer Vision решение для распознавания и анализа","Снижение интеллектуальной нагрузки на специалистов, рассматривающих документы, путем автоматизации процесса проверки сведений, содержащихся в заявках о постановке объектов, оказывающих негативное воздействие на окружающую среду (НВОС) на учет, актуализации сведений об объекте НВОС, а также исключение их из государственного реестра. Работа с ПТО УОНВОС, оператором которого является Федеральная служба по надзору в сфере природопользования (Росприроднадзор). Работа с ЕГРЮЛ, оператором которого является Федеральная налоговая служба. Выполнение сравнения данных заявителя из выписки ЕГРЮЛ с данными из заявительных документов в случаях работы по сценарию постановки на учет, актуализации сведений об объекте НВОС в реестре. Выполнение сравнения данных из отчета об инвентаризации выбросов загрязняющих веществ в атмосферный воздух с данными заявки в случаях работы по сценарию постановки на учет, актуализации сведений об объекте НВОС в реестре.","Решение/оборудование для обработки изображений или видеоданных с использованием AI/CV-компонентов. Ключевые элементы: chat_ui, monitoring_support, information_security, классификация.","классификация","chat_ui; monitoring_support; information_security","Выполнение сравнения данных заявителя из выписки ЕГРЮЛ с данными из заявительных документов в случаях работы по сценарию постановки на учет, актуализации сведений об объекте НВОС в реестре. | Государственная услуга по государственному учету объектов НВОС предоставляется по одной из четырех различных административных процедур (сценариев) в зависимости от заявительных документов: | Решение вопросов, связанных с работой сторонних сервисов, выходящих за рамки технической поддержки, необходимо адресовать соответствующим специалистам компаний хостинг-провайдеров, разработчикам стороннего программного обеспечения. | Вопрос выходит за рамки технической поддержки.","портал/внешний сайт","information_security; personal_data; critical_infrastructure; sla_24x7; on_prem_hardware","CV pilot kit: прием изображений/видео, модель распознавания, кабинет проверки результатов, отчет качества и API для интеграции.","промышленность; безопасность; медицина; транспорт; ритейл; региональные и муниципальные заказчики","low","medium","data/raw/tenderguru/2026-05-25/docs/0137200001225005799/derived-2-001-opisanie-obekta-zakupki.docx.txt | data/raw/tenderguru/2026-05-25/docs/0137200001225005799/derived-2-001-trebovaniya-k-soderzhaniyu-sostavu-zayavki-na-uchastie-v-zakupke-i-inst_ya-po-ee-zapolneniyu26689428.docx.txt | data/raw/tenderguru/2026-05-25/docs/0137200001225005799/derived-2-001-sys_criter_template-26689428.docx.txt | data/raw/tenderguru/2026-05-25/docs/0137200001225005799/derived-2-001-sys_criter_template-26728606.docx.txt | data/raw/tenderguru/2026-05-25/docs/0137200001225005799/derived-2-001-proekt-kontrakta.docx.txt","data/analysis/2026-05-25/product-cards/0137200001225005799.md"
