tender_id,tenderguru_card_id,documentation_result_id,date,classification,relevance_score,matched_terms,matched_queries,sources,reason,tender_name,customer,customer_inn,category,region,price,end_time,fz,etp,tender_num_outer,tender_link,tenderguru_link,doc_links_from_documentation_search,docs_count_in_card,docs_status,docs_ai_api_url
"94517974","94517974","","23-05-2026","ai_core","10","искусственный интеллект","""искусственный интеллект""","search","найдено в карточке/названии; совпадения: искусственный интеллект; карточка содержит 500 символов описания","Право заключения договора на оказание услуг по реализации решения «системы искусственного интеллекта по распознаванию результатов металлографического контроля на АО ЧМЗ»","Росатом","","Системная интеграция, оргтехника","Удмуртия","2461621","03-06-2026","","","","-","https://www.tenderguru.ru/tender/94517974","","0","docsXML empty in tender card","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94517974&ff=a&drl=1"
"0848300045426000402","94506847","","22-05-2026","ai_core","20","искусственный интеллект; технологии искусственного интеллекта","""искусственный интеллект""; ""технологии искусственного интеллекта""","search","найдено в карточке/названии; совпадения: искусственный интеллект, технологии искусственного интеллекта; карточка содержит 500 символов описания","Оказание услуг по сбору, обработке, контент-анализу информации и сопровождению модулей информационно-аналитической системы с использованием технологий искусственного интеллекта для нужд МКУ «Муниципальный центр управления регионом Одинцовского городского округа Московской области» в 2026 году (второе полугодие)","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР МУНИЦИПАЛЬНЫХ ЗАКУПОК ОДИНЦОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ""","5032203563","Системная интеграция, оргтехника","Московская область","8768833","01-06-2026","44","РТС-тендер","0848300045426000402","http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0848300045426000402","https://www.tenderguru.ru/tender/94506847","","1","docsXML available","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94506847&ff=a&drl=1"
"0345100003326000071","94511664","","22-05-2026","ai_core","19","искусственный интеллект; нейронная сеть","""искусственный интеллект""; ""нейронная сеть""","search","найдено в карточке/названии; совпадения: искусственный интеллект, нейронная сеть; карточка содержит 500 символов описания","Поставка оборудования для системы телевизионного наблюдения (СТН)","Учреждение Российской академии наук Петербургский институт ядерной физики им.Б.П.Константинова РАН","4705001850","Системная интеграция, оргтехника","Ленинградская область","1100471","02-06-2026","44","РТС-тендер","0345100003326000071","http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0345100003326000071","https://www.tenderguru.ru/tender/94511664","","1","docsXML available","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94511664&ff=a&drl=1"
"136100006226000012","","84101048","21-05-2026","ai_core","21","искусственный интеллект; машинное обучение","""искусственный интеллект""; ""машинное обучение""","documentation","найдено также в документации; совпадения: искусственный интеллект, машинное обучение","Услуги по адаптации и сопровождению экземпляров Систем ""Консультант Плюс"" (закупка услуг в сфере информационно-коммуникационных технологий)","ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЛЕЧЕБНОЕ ИСПРАВИТЕЛЬНОЕ УЧРЕЖДЕНИЕ № 8 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО ТВЕРСКОЙ ОБЛАСТИ""","","Транспорт","Тверская область","81000","02-06-2026","","","","","https://www.tenderguru.ru/tender/84101048","https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD1DRkIxRkQyMzk5QUY0MEQ4QkU3RTFDQjU3NDBBQTkzQQ%3D%3D | https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=CFB1FD2399AF40D8BE7E1CB5740AA93A","0","docsXML empty in tender card","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=136100006226000012&ff=a&drl=1"
"94452255","94452255","","21-05-2026","ai_core","10","искусственный интеллект","""искусственный интеллект""","search","найдено в карточке/названии; совпадения: искусственный интеллект; карточка содержит 500 символов описания","Право заключения договора на выполнение работ по созданию системы «Интеллектуальный помощник» с использованием искусственного интеллекта, в том числе большой языковой модели.","ОАО &#034;ФСК ЕЭС&#034;","7723185941","Системная интеграция, оргтехника","Москва","99294797","05-06-2026","223","«РТС-тендер» коммерческая закупка","","https://www.rts-tender.ru/poisk/id/l32616028314-1/","https://www.tenderguru.ru/tender/94452255","","1","docsXML available","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94452255&ff=a&drl=1"
"rq_0373100124926000115","94473149","","21-05-2026","ai_core","10","искусственный интеллект","""искусственный интеллект""","search","найдено в карточке/названии; совпадения: искусственный интеллект","Запрос цены. Закупка вычислительных узлов","федеральное государственное бюджетное учреждение ""Главный центр связи и защиты информации Министерства внутренних дел Российской Федерации""","","Системная интеграция, оргтехника","Москва","","","44","","rq_0373100124926000115","http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=rq_0373100124926000115","https://www.tenderguru.ru/tender/94473149","","0","docsXML empty in tender card","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94473149&ff=a&drl=1"
"rq_0372100003426000793","94474229","","21-05-2026","ai_core","9","нейронная сеть","""нейронная сеть""","search","найдено в карточке/названии; совпадения: нейронная сеть","Запрос цены. Выполнение работ по разработке рабочего проекта (РП) программного обеспечения для защиты от атак на интеллектуальные системы AIoT-платформы и модификации моделей искусственных нейронных сетей, обучаемых с помощью алгоритмов, разработанных в 2024 г. в Центре ИИ.","Федеральное государственное образовательное учреждение высшего профессионального образования ""Санкт-Петербургский государственный университет""","","Системная интеграция, оргтехника","Санкт-Петербург","","","44","","rq_0372100003426000793","http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=rq_0372100003426000793","https://www.tenderguru.ru/tender/94474229","","0","docsXML empty in tender card","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94474229&ff=a&drl=1"
"32616028314","94446832","84053308","20-05-2026","ai_core","31","искусственный интеллект; технологии искусственного интеллекта; нейронная сеть","""искусственный интеллект""; ""технологии искусственного интеллекта""; ""нейронная сеть""","search; documentation","найдено также в документации; совпадения: искусственный интеллект, технологии искусственного интеллекта, нейронная сеть; карточка содержит 500 символов описания","Право заключения договора на выполнение работ по созданию системы «Интеллектуальный помощник» с использованием искусственного интеллекта, в том числе большой языковой модели.","ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФЕДЕРАЛЬНАЯ СЕТЕВАЯ КОМПАНИЯ - РОССЕТИ""","7723185941","Системная интеграция, оргтехника","Москва","99294797","05-06-2026","223","РТС-тендер","32616028314","https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=32616028314&morphology=on&search-filter=Дате+размещения&pageNumber=1&sortDirection=false&recordsPerPage=_10&showLotsInfoHidden=false&sortBy=UPDATE_DATE&fz44=on&fz223=on&af=on&ca=on&pc=on&pa=on&currencyIdGeneral=-1","https://www.tenderguru.ru/tender/94446832","https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw%2FaWQ9MTEwODY5MjE4 | https://zakupki.gov.ru/223/purchase/public/download/download.html?id=110869218 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw%2FaWQ9MTEwODY5MjE5 | https://zakupki.gov.ru/223/purchase/public/download/download.html?id=110869219 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw%2FaWQ9MTEwODY5MjE0 | https://zakupki.gov.ru/223/purchase/public/download/download.html?id=110869214 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw%2FaWQ9MTEwODY5MjE1 | https://zakupki.gov.ru/223/purchase/public/download/download.html?id=110869215","1","docsXML available","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94446832&ff=a&drl=1"
"32616023957","94431653","84047348","20-05-2026","ai_core","21","искусственный интеллект; машинное обучение","""искусственный интеллект""; ""машинное обучение""","documentation","найдено также в документации; совпадения: искусственный интеллект, машинное обучение; карточка содержит 500 символов описания","Использование Систем и оказание услуг экземпляров Систем Консультант Плюс","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕНЕССАНС АКТИВ СТРОЙ""","2540276568","Системная интеграция, оргтехника","Приморский край","311836","27-05-2026","223","РТС-тендер","32616023957","https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=32616023957&morphology=on&search-filter=Дате+размещения&pageNumber=1&sortDirection=false&recordsPerPage=_10&showLotsInfoHidden=false&sortBy=UPDATE_DATE&fz44=on&fz223=on&af=on&ca=on&pc=on&pa=on&currencyIdGeneral=-1","https://www.tenderguru.ru/tender/94431653","https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw%2FaWQ9MTEwODM5Njky | https://zakupki.gov.ru/223/purchase/public/download/download.html?id=110839692 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw%2FaWQ9MTEwODM5Njk1 | https://zakupki.gov.ru/223/purchase/public/download/download.html?id=110839695 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw%2FaWQ9MTEwODM5Njkw | https://zakupki.gov.ru/223/purchase/public/download/download.html?id=110839690","1","docsXML available","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94431653&ff=a&drl=1"
"rq_0372100047626000201","94421541","","20-05-2026","ai_core","20","искусственный интеллект; технологии искусственного интеллекта","""искусственный интеллект""; ""технологии искусственного интеллекта""","search","найдено в карточке/названии; совпадения: искусственный интеллект, технологии искусственного интеллекта","Запрос цены. Выполнение работ по созданию Комплекса инструментов для автоматизированной системы «Интеграционная платформа для анализа компьютерной томографии и магнитно-резонансной томографии в оториноларингологии с использованием технологий искусственного интеллекта»","Федеральное государственное бюджетное учреждение ""Санкт-Петербургский научно-исследовательский институт уха, горла, носа и речи"" Министерства здравоохранения и социального развития Российской Федерации","","Системная интеграция, оргтехника","Санкт-Петербург","","","44","","rq_0372100047626000201","http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=rq_0372100047626000201","https://www.tenderguru.ru/tender/94421541","","0","docsXML empty in tender card","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94421541&ff=a&drl=1"
